

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
57  Proposed     15         5  38.888889  37.629370  42.151151  39.890261
10  Proposed     20         1  34.019204  25.293953  33.690958  29.492455
22  Proposed     20         2  26.200274  25.293953  33.690958  29.492455
34  Proposed     20         3  29.903978  25.293953  33.690958  29.492455
46  Proposed     20         4  26.131687  25.293953  33.690958  29.492455
58  Proposed     20         5  31.207133  25.293953  33.690958  29.492455
11  Proposed     25         1  22.565158  21.146338  30.211687  25.679012
23  Proposed     25         2  27.640604  21.146338  30.211687  25.679012
35  Proposed     25         3  22.633745  21.146338  30.211687  25.679012
47  Proposed     25         4  24.485597  21.146338  30.211687  25.679012
59  Proposed     25         5  31.069959  21.146338  30.211687  25.679012

DD_g501
        type  noise iteration    accuracy   ci_lower    ci_upper    avg acc
0   Original      0         1   98.135198  98.302245  100.019434  99.160839
12  Original      0         2   99.067599  98.302245  100.019434  99.160839
24  Original      0         3   99.067599  98.302245  100.019434  99.160839
36  Original      0         4  100.000000  98.302245  100.019434  99.160839
48  Original      0         5   99.533800  98.302245  100.019434  99.160839
1   Original      5         1   46.153846  41.134768   66.464300  53.799534
13  Original      5         2   59.207459  41.134768   66.464300  53.799534
25  Original      5         3   48.484848  41.134768   66.464300  53.799534
37  Original      5         4   69.230769  41.134768   66.464300  53.799534
49  Original      5         5   45.920746  41.134768   66.464300  53.799534
2   Original     10         1   18.881119  13.224440   24.444557  18.834499
14  Original     10         2   18.181818  13.224440   24.444557  18.834499
26  Original     10         3   17.249417  13.224440   24.444557  18.834499
38  Original     10         4   26.107226  13.224440   24.444557  18.834499
50  Original     10         5   13.752914  13.224440   24.444557  18.834499
3   Original     15         1   11.188811   7.778148   12.175232   9.976690
15  Original     15         2   10.256410   7.778148   12.175232   9.976690
27  Original     15         3    6.993007   7.778148   12.175232   9.976690
39  Original     15         4   10.023310   7.778148   12.175232   9.976690
51  Original     15         5   11.421911   7.778148   12.175232   9.976690
4   Original     20         1    5.361305   4.201119    5.868811   5.034965
16  Original     20         2    5.594406   4.201119    5.868811   5.034965
28  Original     20         3    5.594406   4.201119    5.868811   5.034965
40  Original     20         4    4.428904   4.201119    5.868811   5.034965
52  Original     20         5    4.195804   4.201119    5.868811   5.034965
5   Original     25         1    3.962704   1.586421    4.007984   2.797203
17  Original     25         2    3.263403   1.586421    4.007984   2.797203
29  Original     25         3    1.398601   1.586421    4.007984   2.797203
41  Original     25         4    3.030303   1.586421    4.007984   2.797203
53  Original     25         5    2.331002   1.586421    4.007984   2.797203
6   Proposed      0         1   99.067599  98.676527   99.645152  99.160839
18  Proposed      0         2   99.533800  98.676527   99.645152  99.160839
30  Proposed      0         3   98.601399  98.676527   99.645152  99.160839
42  Proposed      0         4   99.533800  98.676527   99.645152  99.160839
54  Proposed      0         5   99.067599  98.676527   99.645152  99.160839
7   Proposed      5         1   68.065268  67.125008   86.534666  76.829837
19  Proposed      5         2   79.720280  67.125008   86.534666  76.829837
31  Proposed      5         3   75.291375  67.125008   86.534666  76.829837
43  Proposed      5         4   88.578089  67.125008   86.534666  76.829837
55  Proposed      5         5   72.494172  67.125008   86.534666  76.829837
8   Proposed     10         1   41.258741  38.451595   45.557729  42.004662
20  Proposed     10         2   41.491841  38.451595   45.557729  42.004662
32  Proposed     10         3   42.424242  38.451595   45.557729  42.004662
44  Proposed     10         4   46.386946  38.451595   45.557729  42.004662
56  Proposed     10         5   38.461538  38.451595   45.557729  42.004662
9   Proposed     15         1   19.114219  18.822818   23.974385  21.398601
21  Proposed     15         2   21.678322  18.822818   23.974385  21.398601
33  Proposed     15         3   20.512821  18.822818   23.974385  21.398601
45  Proposed     15         4   20.979021  18.822818   23.974385  21.398601
57  Proposed     15         5   24.708625  18.822818   23.974385  21.398601
10  Proposed     20         1   12.820513   8.570172   12.129129  10.349650
22  Proposed     20         2   10.023310   8.570172   12.129129  10.349650
34  Proposed     20         3   10.023310   8.570172   12.129129  10.349650
46  Proposed     20         4    9.790210   8.570172   12.129129  10.349650
58  Proposed     20         5    9.090909   8.570172   12.129129  10.349650
11  Proposed     25         1    8.391608   5.151072    8.834942   6.993007
23  Proposed     25         2    6.293706   5.151072    8.834942   6.993007
35  Proposed     25         3    4.895105   5.151072    8.834942   6.993007
47  Proposed     25         4    6.993007   5.151072    8.834942   6.993007
59  Proposed     25         5    8.391608   5.151072    8.834942   6.993007
