

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
22  Proposed     20         2    5.328597   4.883519   5.880247   5.381883
34  Proposed     20         3    5.639432   4.883519   5.880247   5.381883
46  Proposed     20         4    5.905861   4.883519   5.880247   5.381883
58  Proposed     20         5    4.884547   4.883519   5.880247   5.381883
11  Proposed     25         1    3.019538   1.764885   3.066376   2.415631
23  Proposed     25         2    1.865009   1.764885   3.066376   2.415631
35  Proposed     25         3    2.708703   1.764885   3.066376   2.415631
47  Proposed     25         4    2.619893   1.764885   3.066376   2.415631
59  Proposed     25         5    1.865009   1.764885   3.066376   2.415631

bio-yeast
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  69.890261  69.500560  71.459659  70.480110
12  Original      0         2  69.410151  69.500560  71.459659  70.480110
24  Original      0         3  70.919067  69.500560  71.459659  70.480110
36  Original      0         4  70.919067  69.500560  71.459659  70.480110
48  Original      0         5  71.262003  69.500560  71.459659  70.480110
1   Original      5         1  61.865569  59.194470  63.878233  61.536351
13  Original      5         2  64.128944  59.194470  63.878233  61.536351
25  Original      5         3  62.071331  59.194470  63.878233  61.536351
37  Original      5         4  59.053498  59.194470  63.878233  61.536351
49  Original      5         5  60.562414  59.194470  63.878233  61.536351
2   Original     10         1  49.039781  42.569230  50.709234  46.639232
14  Original     10         2  47.050754  42.569230  50.709234  46.639232
26  Original     10         3  42.181070  42.569230  50.709234  46.639232
38  Original     10         4  50.274348  42.569230  50.709234  46.639232
50  Original     10         5  44.650206  42.569230  50.709234  46.639232
3   Original     15         1  32.716049  25.942359  37.130344  31.536351
15  Original     15         2  31.755830  25.942359  37.130344  31.536351
27  Original     15         3  37.860082  25.942359  37.130344  31.536351
39  Original     15         4  25.445816  25.942359  37.130344  31.536351
51  Original     15         5  29.903978  25.942359  37.130344  31.536351
4   Original     20         1  21.262003  15.957478  20.722906  18.340192
16  Original     20         2  16.666667  15.957478  20.722906  18.340192
28  Original     20         3  18.244170  15.957478  20.722906  18.340192
40  Original     20         4  16.598080  15.957478  20.722906  18.340192
52  Original     20         5  18.930041  15.957478  20.722906  18.340192
5   Original     25         1  12.825789  11.519931  15.174171  13.347051
17  Original     25         2  14.060357  11.519931  15.174171  13.347051
29  Original     25         3  14.814815  11.519931  15.174171  13.347051
41  Original     25         4  11.042524  11.519931  15.174171  13.347051
53  Original     25         5  13.991770  11.519931  15.174171  13.347051
6   Proposed      0         1  69.067215  68.825337  70.351618  69.588477
18  Proposed      0         2  69.067215  68.825337  70.351618  69.588477
30  Proposed      0         3  69.410151  68.825337  70.351618  69.588477
42  Proposed      0         4  70.507545  68.825337  70.351618  69.588477
54  Proposed      0         5  69.890261  68.825337  70.351618  69.588477
7   Proposed      5         1  65.775034  63.447704  67.855451  65.651578
19  Proposed      5         2  66.666667  63.447704  67.855451  65.651578
31  Proposed      5         3  66.735254  63.447704  67.855451  65.651578
43  Proposed      5         4  62.551440  63.447704  67.855451  65.651578
55  Proposed      5         5  66.529492  63.447704  67.855451  65.651578
8   Proposed     10         1  58.847737  55.665952  61.179041  58.422497
